age,income,loan_amount,credit_score,employment_years,num_accounts,missed_payments,default
25,53130,40279,661,20,2,3,1
67,71756,45251,740,25,3,1,1
45,117624,24888,325,13,6,4,1
45,46292,18630,324,12,4,3,1
54,106206,36144,693,26,6,3,1
58,89274,32182,806,3,1,4,1
53,22469,26538,600,6,1,1,1
44,73947,12824,638,21,3,3,1
34,42534,33125,566,9,8,4,1
26,83620,7979,760,6,8,1,0
50,68874,27189,755,20,4,4,0
37,69708,43600,659,14,6,4,1
30,94553,13504,367,14,8,3,1
45,88344,21669,711,3,7,1,0
65,69138,7910,790,22,7,3,1
46,74302,47857,348,22,4,0,1
30,67638,35964,401,5,9,0,1
63,98249,21131,515,23,6,1,1
52,22719,26227,737,19,3,4,1
23,42890,6978,458,25,5,3,1
35,97236,22991,788,4,5,3,1
68,56509,18153,541,19,5,1,1
22,62534,34548,304,11,8,1,0
64,112241,43676,660,0,9,0,0
42,38787,40071,758,27,9,2,1
19,68845,48454,547,7,6,1,1
27,77932,4983,721,0,6,2,0
47,112124,10503,314,4,9,1,1
67,111659,30921,421,21,4,4,1
62,53062,17905,576,5,6,4,0
22,95713,46838,752,28,4,0,1
50,107263,24953,689,20,1,0,0
18,115756,27806,593,2,7,2,0
35,80461,46000,745,14,6,1,1
49,95418,23168,509,4,9,3,1
64,86672,5583,601,27,7,0,0
66,54832,39714,522,23,7,3,1
28,51966,40896,302,13,2,3,1
38,92545,12889,817,17,9,1,0
43,32987,28413,392,15,9,2,1
42,57311,13275,819,5,6,1,0
39,51575,3461,727,24,3,0,1
44,83852,15291,792,23,1,3,1
66,21007,47804,534,13,4,1,1
30,90981,12435,460,26,3,1,1
50,96242,28935,630,23,1,1,0
51,67517,34453,632,7,3,0,1
58,49257,19544,349,28,4,2,1
52,107272,13258,822,6,8,1,0
18,62207,31841,791,7,9,0,1
38,33281,49758,571,12,3,3,1
65,81246,11736,551,5,6,4,1
23,21435,38643,389,17,5,0,1
45,118875,44950,745,1,6,4,1
34,111357,35964,631,7,4,1,0
22,46660,29044,438,10,6,1,1
48,25084,40933,656,0,7,0,1
22,102197,16997,573,21,9,4,1
55,33507,15215,318,28,7,1,1
20,92595,34069,610,5,6,3,1
40,103807,24911,453,15,1,2,1
54,65539,18030,689,26,2,2,0
54,27491,30334,559,19,1,1,1
27,70192,15571,424,11,9,4,1
27,100395,43719,653,10,9,1,1
36,83888,29927,572,28,7,4,1
34,93609,21714,544,26,2,3,1
38,29077,44541,749,28,6,4,1
31,40953,24387,546,9,4,1,1
26,96919,29444,819,2,1,3,1
63,87889,49908,440,12,1,0,1
18,43821,20921,661,26,5,2,1
68,57567,14057,307,2,2,1,1
62,44860,46268,777,14,4,1,1
30,41195,25858,651,15,1,1,1
21,97475,49689,794,28,4,3,1
18,110874,45638,726,12,6,0,1
66,107266,27062,338,16,4,4,1
57,41427,37850,486,2,1,0,1
49,47083,47486,392,19,7,3,1
51,107046,21567,385,10,2,1,1
45,77372,30739,343,26,9,2,1
48,64064,44285,436,20,3,1,1
25,27813,4754,720,18,8,4,1
56,51598,28044,373,21,8,2,1
43,113106,2724,847,10,3,1,0
51,47082,2376,811,29,4,2,0
20,49241,9706,455,27,2,0,1
67,116214,9894,554,15,4,3,1
29,64569,19037,470,20,9,1,1
18,31745,19450,469,2,2,4,1
61,46029,17406,621,21,3,0,0
22,33025,30725,755,5,4,1,1
47,34288,6926,454,13,5,0,1
47,109186,40019,648,23,1,4,1
34,26540,10496,750,17,7,1,0
65,117768,37068,472,16,7,4,1
64,101958,30806,309,3,9,2,1
40,88878,23663,564,22,4,4,1
32,61846,42321,737,14,6,2,1
54,95932,37495,546,10,2,1,1
38,37482,23656,845,25,4,2,1
31,43411,26860,798,2,2,1,1
19,70975,17832,428,2,5,1,1
28,80545,39787,626,15,7,3,1
68,98797,49231,703,4,1,1,1
56,72307,22727,658,20,7,2,0
55,23093,43815,316,28,6,3,1
51,97258,30545,573,9,6,3,1
55,42042,45522,415,18,8,1,1
67,72930,3520,390,24,8,4,1
51,64413,4081,381,3,6,4,1
35,113623,35196,623,28,3,3,1
47,117883,37735,413,28,5,1,0
32,53756,40213,357,18,2,4,1
44,73268,15566,453,10,5,1,1
68,59214,15042,703,1,9,1,0
51,101871,26498,565,9,1,3,1
69,48602,12329,614,28,5,3,0
55,73331,32656,340,10,6,0,1
50,68901,3159,404,24,7,4,1
41,119986,38900,492,19,9,4,1
32,83416,20363,700,15,6,4,1
47,52196,48701,577,18,5,2,1
59,25626,44241,653,22,7,1,1
68,27424,20033,555,23,1,3,1
34,32857,11805,398,10,5,4,1
22,39982,36851,581,13,2,0,1
46,96961,27832,702,1,4,4,1
21,21980,14944,408,22,7,1,1
27,68290,20873,498,27,5,1,1
34,46431,41372,602,4,6,3,1
27,104976,24928,626,26,2,2,0
34,102711,16379,453,4,3,3,1
37,46385,37751,704,18,7,4,1
41,58158,35546,761,20,2,0,1
22,43019,25286,431,11,6,3,1
51,38639,6110,383,17,5,2,1
23,105530,13087,698,3,1,3,1
19,119911,24762,408,21,4,1,1
30,41563,18081,520,16,2,4,1
60,59341,35947,667,9,4,4,1
60,25776,10596,446,19,1,4,1
65,56444,39019,411,5,2,4,1
28,88916,43003,793,24,8,4,1
68,28711,19313,804,13,6,4,1
64,94318,48639,774,10,2,0,1
40,102970,2013,570,10,6,2,0
33,105553,24705,720,28,9,4,1
48,50707,2828,666,17,7,2,0
28,59110,8909,579,26,9,4,1
33,81788,39356,582,22,5,3,1
25,102879,14109,339,21,7,4,1
21,58827,3023,488,17,7,1,1
57,25655,15537,463,23,3,0,1
21,64859,27661,835,22,7,3,1
42,73625,39659,835,10,1,3,1
20,72098,34848,303,20,9,1,1
49,35251,38804,589,11,6,4,1
20,20526,16379,732,4,5,0,1
44,88760,28766,770,22,7,3,1
46,67837,44590,480,8,5,0,1
49,31536,3563,547,26,5,3,0
67,48541,37060,578,24,7,4,1
68,99083,30197,553,8,7,3,1
36,71027,4586,480,21,3,3,1
38,54531,17087,808,9,3,2,0
22,28712,49868,625,21,3,4,1
35,85455,24225,656,18,6,1,0
45,94744,30750,690,0,6,1,0
59,25109,7643,384,6,3,4,1
39,69268,28523,616,3,3,1,1
38,74615,37727,511,0,8,4,1
23,102503,12005,814,14,8,1,0
18,49759,44543,683,7,7,2,1
22,105708,1161,641,11,4,1,0
58,80112,17029,337,21,4,3,0
29,46589,15226,810,21,3,4,1
43,50015,29731,719,17,5,0,1
63,49009,44922,468,14,3,0,1
51,103309,45848,642,16,8,4,1
66,82046,4390,605,28,7,2,0
31,46143,6997,841,13,3,1,0
43,26154,13693,836,13,9,2,1
62,41804,43092,411,17,5,0,1
44,61688,1541,710,19,9,4,1
26,84288,22817,505,17,7,4,0
43,71195,38861,484,15,7,2,1
64,40581,14428,681,0,6,2,0
39,72648,44934,795,22,2,1,1
64,50087,49831,678,26,9,3,1
47,69930,11258,346,10,6,3,1
60,52981,17044,827,14,8,1,0
65,89298,30411,803,11,1,3,1
34,66167,6469,321,7,5,0,0
43,95304,29854,512,21,1,3,1
53,63408,7256,609,19,8,1,0
18,59499,11720,571,29,8,3,1
25,72269,34937,501,5,1,4,1
66,58559,34598,331,2,9,2,1
52,94319,2651,742,27,2,0,0
69,115317,20194,461,23,9,4,0
32,116347,26051,553,25,1,4,1
64,68787,28386,820,29,9,1,1
39,55488,10518,779,12,4,2,0
31,94441,47026,309,12,9,2,1
43,94663,17184,804,1,7,0,0
45,42431,34787,735,4,6,1,1
40,81681,22621,410,16,5,0,1
31,83483,11028,452,5,9,3,1
41,69153,13448,401,1,2,4,1
19,26368,46253,490,3,2,0,1
62,47424,35051,380,21,9,4,1
43,65004,31447,788,25,3,1,1
31,103869,19394,387,10,8,3,1
68,108652,35501,493,7,9,1,1
24,76985,31254,403,11,8,3,1
20,70069,19509,395,7,4,3,1
64,72326,49998,722,10,1,4,1
40,101061,15472,497,21,4,1,0
63,43398,46657,300,19,9,1,1
60,118393,4471,706,7,2,0,0
64,70861,42796,677,28,3,1,1
62,95897,31268,466,7,8,0,1
35,101905,9329,808,25,6,2,0
55,88577,35865,612,29,8,2,0
