age,income,credit_score,loan_amount,debt_to_income,employment_years,num_accounts,late_payments,savings,education_level,default
37,36745.59,619,78248,0.1336,3,10,0,8354.92,1,0
28,25969.69,805,71441,0.3576,16,11,2,1748.96,2,0
27,41299.42,825,49534,0.3447,9,14,0,3162.31,2,0
57,17230.71,349,28930,0.8064,22,9,2,2253.82,0,1
55,92287.99,368,8288,0.6252,12,1,2,748.59,3,0
23,93779.73,690,62518,0.9453,22,4,1,1512.75,2,0
25,54902.99,682,33400,0.3955,20,6,1,35873.06,3,0
40,34600.56,315,2567,0.3845,20,7,1,8096.37,0,1
64,87375.99,738,48878,0.1391,16,11,3,1345.64,2,0
43,51404.01,431,49850,0.6212,18,5,0,12486.05,2,0
63,93674.0,547,2094,0.1904,16,6,1,6477.68,0,0
60,59919.12,572,12135,0.1635,22,1,0,2544.68,0,0
29,84046.01,648,46113,0.6389,20,14,3,28747.61,2,0
43,56071.71,783,59791,0.4879,27,11,3,2543.03,1,0
30,39060.43,849,10684,0.1408,3,5,1,1026.86,3,0
57,157595.88,656,72727,0.1675,29,2,0,2303.86,3,0
35,50052.89,617,59552,0.1956,22,14,2,24296.04,3,0
42,56809.33,347,9046,0.3058,24,11,0,19504.91,1,0
50,26208.9,309,5934,0.4467,5,2,1,22473.83,3,1
64,59215.48,532,60556,0.526,13,1,1,24790.71,0,1
57,53147.21,335,47806,0.3129,8,10,1,806.66,0,1
60,24196.6,712,2354,0.2563,5,9,0,12424.78,2,0
29,17764.63,761,54046,0.4454,9,4,0,10921.97,1,0
61,56726.2,303,66064,0.3055,24,4,0,49488.41,1,1
53,79917.92,343,58184,0.1528,5,9,1,12541.24,2,0
65,48348.63,554,3963,0.633,29,5,1,15703.68,1,0
21,26573.2,413,28424,0.2711,8,4,2,12552.19,3,0
22,64418.02,696,4042,0.1672,12,7,1,9691.16,2,0
54,18757.34,473,8139,0.2305,15,13,3,8052.49,3,1
25,41239.43,554,12226,0.4746,29,13,2,34822.04,3,0
59,23026.63,765,39108,0.1447,15,5,0,27542.31,2,0
66,24175.66,576,71647,0.6274,18,8,3,5759.87,0,1
45,25170.68,763,69617,0.4037,4,3,3,3342.9,2,1
48,37001.07,801,30815,0.4792,10,14,0,7114.52,1,0
26,17362.71,740,8802,0.4194,20,8,0,13708.72,3,0
68,37821.96,368,43230,0.1418,14,11,3,5124.06,3,1
46,47257.83,808,64372,0.4253,28,6,1,7705.27,1,0
31,44712.68,625,55020,0.1096,25,14,0,3548.28,2,0
57,36714.14,366,18465,0.4086,29,13,1,5581.0,0,1
58,97226.79,603,8994,0.2399,7,9,0,31534.49,1,0
39,22066.62,783,4531,0.2452,14,6,2,2418.91,0,0
28,46707.27,847,10343,0.1438,10,4,2,44860.04,3,0
40,17882.23,716,60066,0.262,28,2,1,2427.6,2,0
18,18321.64,458,7229,0.3953,12,11,1,3845.4,2,1
63,53385.05,448,45789,0.109,26,3,1,912.0,3,0
54,52563.89,326,45069,0.178,22,7,2,13947.12,1,1
38,109680.4,547,10524,0.3401,1,10,0,177.92,3,0
43,51727.18,400,64103,0.0319,26,5,2,15504.19,1,1
63,159614.92,395,9103,0.0615,1,7,0,8606.98,3,0
53,17246.42,683,59581,0.1557,22,7,0,13813.75,0,1
40,19641.72,581,55203,0.3414,25,6,0,15284.13,2,0
18,17027.98,621,16090,0.3842,11,2,2,1328.26,0,0
68,24220.81,695,16915,0.4181,25,5,1,216.23,1,0
57,50068.22,577,42477,0.3765,19,11,1,1848.45,1,0
32,61676.28,828,57987,0.4039,21,10,0,4846.18,3,0
38,17099.56,562,54238,0.1881,8,6,0,761.43,0,0
64,146320.45,592,16029,0.3199,25,8,0,6101.66,2,0
26,98079.34,593,54520,0.3667,26,1,1,3355.98,1,0
26,30833.13,694,71053,0.4451,19,12,0,4522.97,3,0
27,18614.82,812,52464,0.0511,14,12,2,28195.53,2,0
69,23378.71,479,22961,0.2781,6,12,0,12883.36,3,0
43,21109.02,534,27835,0.4234,24,10,0,10734.12,1,1
58,20920.74,636,28725,0.1627,13,7,0,10600.61,2,0
52,47893.97,307,26357,0.1993,16,14,1,8105.38,3,1
69,27697.23,742,2244,0.1352,25,5,1,7194.51,1,0
42,34952.31,838,68952,0.6518,26,14,0,21383.64,3,0
43,220059.96,390,49061,0.1605,1,14,1,779.64,3,0
28,66885.36,571,7490,0.2102,28,7,0,3404.08,3,0
55,148899.78,304,78219,0.2412,8,3,1,1099.57,2,0
19,21921.0,518,6839,0.1283,12,4,0,111.14,2,0
24,36667.16,417,25992,0.3568,4,2,3,139.64,1,1
35,51408.53,414,45938,0.2761,3,12,1,243.03,3,1
44,18593.88,562,57249,0.7516,22,6,0,11448.79,2,1
51,15188.83,605,45735,0.1903,20,5,0,1181.14,2,0
44,64949.08,721,51734,0.0838,0,1,3,2261.59,3,0
34,61202.32,506,48080,0.6326,8,1,0,5429.77,1,1
60,38803.68,602,75460,0.2777,23,8,3,3136.84,0,1
61,45269.11,411,25260,0.2431,15,8,2,16966.18,3,0
68,39160.54,716,60607,0.3046,18,6,0,9767.15,1,0
41,16093.4,584,62852,0.4965,25,11,0,4054.28,0,0
42,33383.72,484,29380,0.7077,2,9,1,3824.07,1,0
24,23770.46,520,72257,0.093,2,1,3,11510.44,0,0
69,19662.5,743,42191,0.7723,6,10,2,1871.37,0,1
23,156303.36,416,5930,0.1042,17,8,2,3292.62,1,0
41,56161.11,369,5353,0.6129,24,2,1,4360.8,2,0
50,73696.6,369,8832,0.1297,19,8,3,6063.2,1,0
66,32049.04,726,50554,0.3358,6,3,1,2113.78,0,0
46,37476.1,742,55017,0.1802,23,6,2,1710.65,3,0
60,27167.89,436,58298,0.2779,15,7,0,46011.86,0,0
39,19589.76,803,52389,0.5015,20,3,0,24441.26,0,0
43,23877.18,430,74306,0.4941,23,14,0,7415.36,1,1
45,86868.81,517,26525,0.3957,3,2,0,14505.14,0,0
67,65930.74,470,74471,0.1623,12,1,3,11208.69,3,0
38,50626.78,774,69211,0.4045,9,14,3,780.85,2,0
66,44003.77,428,32280,0.184,1,5,2,7295.98,3,1
24,130048.34,356,12240,0.3326,18,1,1,2032.42,2,0
34,18398.21,480,66092,0.4332,13,1,1,8772.1,3,1
37,29820.25,545,70541,0.1351,5,5,4,637.83,2,0
58,34380.93,443,63851,0.1628,25,3,3,1778.22,1,0
66,83634.69,350,7544,0.1519,12,10,1,15219.67,2,0
37,235266.16,667,58981,0.2902,21,3,1,18530.86,1,0
39,27389.38,758,18332,0.3919,27,11,0,23801.21,3,0
45,108326.2,517,27836,0.2287,11,7,0,22703.75,0,0
57,94903.21,556,15388,0.679,11,3,2,23754.67,1,0
66,26450.26,455,2694,0.1178,29,2,2,994.99,2,0
24,37937.12,741,50294,0.3784,22,3,0,10773.07,1,0
18,38718.53,324,39769,0.6829,11,11,1,12074.91,1,1
49,187205.72,835,40420,0.0489,10,4,1,3122.41,1,0
30,23979.26,359,38855,0.1329,13,9,0,49520.02,1,0
47,87235.65,766,2460,0.0909,3,12,0,3366.32,0,0
40,33303.98,733,48646,0.2278,12,2,2,8554.02,1,0
68,74065.29,365,42252,0.1025,7,14,2,20585.06,3,0
36,39513.58,405,10835,0.1466,23,6,1,3413.45,1,1
49,53862.13,395,11910,0.6122,26,5,1,9326.88,1,0
47,95434.78,467,9463,0.4107,22,6,1,12730.18,0,0
46,88371.86,341,14336,0.4825,2,5,1,9854.01,3,0
66,105588.54,403,27534,0.2158,13,6,2,5208.17,0,0
62,17766.08,503,3369,0.5079,18,12,1,28959.75,0,0
46,68001.88,819,26381,0.1191,17,4,0,9475.49,3,0
47,21786.37,581,26407,0.2479,10,8,1,2540.67,3,0
33,39189.47,342,63552,0.1952,12,12,1,16405.64,1,1
57,50791.91,409,36939,0.5307,22,9,1,10667.6,3,0
36,38193.08,509,68576,0.2971,29,10,0,1159.89,1,0
35,47992.22,348,27170,0.2617,5,7,2,3259.27,0,1
18,269814.19,414,72908,0.2413,27,14,1,1721.39,1,0
31,21537.47,454,23369,0.496,22,14,1,754.49,1,0
68,65640.04,802,74098,0.2568,17,14,0,2616.24,3,0
64,37688.22,370,45544,0.0933,19,11,1,3259.22,0,0
67,21422.74,818,6900,0.7397,0,12,1,6283.43,3,0
19,22778.28,635,41733,0.3655,1,1,1,34822.88,0,1
45,149158.46,366,1589,0.0578,6,5,0,28694.31,2,0
66,110262.67,792,61044,0.3029,4,7,2,14011.37,0,0
67,121902.32,512,66311,0.0666,25,5,1,10399.04,0,0
47,229719.86,480,58926,0.1891,18,5,0,29426.21,0,0
55,25511.65,547,71599,0.5879,1,12,1,1536.73,0,1
68,34763.39,513,50008,0.414,2,5,1,4009.71,1,0
21,64783.45,658,67794,0.1911,19,5,0,8059.29,3,0
18,44756.97,548,3866,0.7339,9,13,0,16816.55,0,0
25,39387.95,815,53890,0.0856,9,11,1,9775.99,1,0
46,34929.29,387,42504,0.2425,20,5,2,16547.97,3,0
56,55538.79,475,54374,0.3546,7,1,1,1661.43,1,0
20,53567.85,725,30404,0.5466,8,12,0,2141.03,0,0
49,22924.07,380,66223,0.3455,1,6,2,13492.5,3,1
27,43717.49,437,1637,0.2356,27,11,1,4281.95,0,0
27,51281.37,732,16828,0.0829,2,11,3,5728.68,2,0
36,53008.69,769,54544,0.3922,15,12,1,15686.06,1,0
63,25613.61,649,46097,0.2011,3,13,1,726.1,0,0
51,76013.17,425,33022,0.6844,22,6,2,1838.98,3,0
50,16148.49,608,33202,0.2331,29,8,1,3507.08,3,0
40,34720.99,529,29704,0.0548,5,14,1,21498.08,1,0
45,83179.27,759,24641,0.1911,12,5,0,5189.94,2,0
49,52344.04,644,38479,0.1438,5,2,1,2904.98,0,0
67,28620.47,609,79771,0.2479,9,13,0,11345.32,3,0
24,68428.04,319,23027,0.205,22,7,1,307.58,2,0
46,52706.44,840,43912,0.3005,16,14,5,14921.29,3,0
25,86587.36,776,72474,0.1632,7,1,2,11969.73,1,0
18,74765.42,568,43692,0.2037,8,5,1,566.58,3,0
20,57384.84,302,33209,0.5831,1,12,3,6892.13,2,1
41,45140.0,315,58563,0.5266,16,5,1,5177.67,3,1
40,21431.69,657,57738,0.4339,19,12,0,1721.41,2,0
25,28630.86,432,38242,0.2584,10,3,2,1672.89,1,1
64,39442.91,611,10941,0.342,17,2,2,1745.89,1,0
54,56154.32,781,8073,0.1375,21,11,0,9154.47,1,0
20,47442.56,843,38827,0.1561,2,4,1,1876.64,3,0
68,30297.15,604,47225,0.2077,8,7,0,614.46,1,0
50,15291.84,568,38096,0.6582,7,10,0,31600.64,1,0
45,45854.42,713,51546,0.1361,28,3,0,399.6,1,0
64,30135.69,324,67457,0.383,6,13,1,10903.35,2,1
25,74694.68,615,69309,0.5219,26,14,0,27493.87,1,0
51,16090.69,575,70998,0.7767,6,6,0,386.74,3,1
52,54557.79,688,31268,0.717,22,7,1,33735.4,3,0
49,142722.97,743,43078,0.5224,20,13,1,6978.36,1,0
41,23624.52,726,2865,0.2853,7,2,0,15375.14,3,0
31,43709.79,356,29887,0.306,19,3,1,9811.54,1,1
49,19314.35,667,50876,0.1071,4,9,2,9593.21,1,0
63,59219.22,641,34479,0.0964,2,1,0,15547.53,3,1
60,50986.05,603,41478,0.2611,18,8,0,676.79,0,0
33,38542.99,673,27401,0.4871,1,1,0,4982.22,3,0
21,48157.89,411,29502,0.4923,13,3,0,34922.64,2,0
69,117100.74,305,14394,0.5316,20,6,0,561.34,2,1
54,24833.5,578,10262,0.4439,27,11,1,3048.9,0,0
38,16027.03,681,5487,0.2545,1,8,0,11150.68,2,0
31,104013.43,312,28341,0.2889,9,7,1,1058.45,3,0
48,53729.7,602,14570,0.3316,19,3,1,7693.23,3,0
65,114597.55,459,58268,0.1041,9,12,2,12495.65,2,0
35,55890.73,453,30605,0.1104,27,6,0,14164.25,1,0
24,89771.07,480,72602,0.4971,16,1,1,8236.88,2,1
27,40269.57,825,27723,0.1696,1,8,1,6944.09,0,0
24,77358.04,479,70108,0.1716,26,9,1,12513.74,2,0
50,124904.58,676,79206,0.4148,0,9,0,1567.24,0,0
40,53201.37,467,61098,0.1026,17,14,1,11410.54,0,0
38,23973.4,513,49707,0.2346,3,4,0,25163.39,3,0
36,29087.92,449,50028,0.5215,0,4,0,11480.75,2,1
65,24965.28,315,57921,0.3905,21,7,0,476.2,1,1
36,27757.51,390,61760,0.0792,16,7,0,7051.92,0,0
53,31464.7,419,11249,0.2973,2,11,0,12956.32,2,0
46,51449.18,552,68847,0.0624,1,6,2,442.07,2,0
35,54902.02,359,44839,0.0869,17,7,2,14363.18,3,0
19,40019.86,565,40673,0.0525,3,14,1,3307.33,1,0
18,58002.25,708,4642,0.4041,24,1,2,8886.1,1,0
64,18829.27,330,7338,0.1647,2,9,1,33915.5,2,1
22,19134.74,320,52761,0.1841,11,14,0,52843.13,1,1
37,23484.13,588,10622,0.1816,21,13,0,10062.36,0,0
28,47848.74,842,49423,0.1315,15,6,1,6762.58,3,0
59,25835.63,797,43873,0.214,27,8,0,1956.41,2,0
19,29988.43,773,48565,0.2363,10,13,1,2336.15,1,0
20,38010.62,704,8806,0.7724,9,5,2,5607.16,2,1
40,90177.07,847,1757,0.6469,18,12,0,12116.23,1,0
29,15628.16,431,22470,0.4991,9,7,0,14666.51,0,0
37,62162.2,623,7220,0.332,20,3,1,2509.11,2,0
22,64736.88,431,55754,0.2343,24,10,2,7666.15,3,1
54,87123.27,820,23505,0.6791,2,1,2,8955.21,1,0
55,136472.19,329,29288,0.3689,23,7,1,22356.56,3,0
47,15915.45,600,75492,0.3382,5,5,3,20908.79,3,1
26,22514.11,303,20109,0.3946,13,1,0,17003.76,0,1
51,112787.72,624,4497,0.6046,11,9,4,7270.38,0,0
61,42605.09,808,58326,0.3263,7,9,2,672.98,1,1
52,52416.09,536,10864,0.1006,1,6,3,4071.77,2,0
69,63948.89,834,75310,0.0398,8,11,0,9721.22,1,0
39,66143.48,315,22017,0.1426,13,9,2,10150.27,1,1
61,135799.68,833,2821,0.3711,0,7,2,18909.59,0,0
41,275659.02,745,51337,0.183,2,8,2,4770.59,1,0
34,72308.77,802,46485,0.4429,19,11,1,27586.41,1,0
27,30236.29,529,57388,0.513,5,2,1,1782.12,2,0
47,110319.11,406,11372,0.3969,26,2,0,511.52,1,1
63,17271.31,688,72333,0.1258,19,4,3,1944.24,2,1
40,26824.63,562,17283,0.1636,12,1,1,6204.98,1,0
49,117455.02,364,41857,0.7183,10,8,1,17310.89,0,1
34,28318.73,564,52772,0.7036,14,5,0,1670.42,1,0
67,26218.34,637,60670,0.7179,17,12,1,7944.86,2,0
68,21689.04,600,74133,0.5386,18,14,1,14987.53,3,0
34,103190.47,677,32261,0.6989,18,7,0,354.84,2,0
31,46196.87,474,58154,0.103,5,12,0,424.07,1,1
26,65562.07,451,7107,0.188,14,2,2,6745.04,1,0
57,27294.41,775,36561,0.4496,20,5,1,2016.83,1,1
19,78854.31,565,77674,0.1274,13,9,0,5988.72,2,0
62,79221.28,628,36268,0.3221,4,9,0,449.3,2,0
42,31867.62,462,32608,0.1798,29,2,1,37666.53,0,0
56,38795.57,737,14138,0.6665,10,14,0,10618.62,1,0
26,25589.87,642,38693,0.3191,19,11,2,11605.81,3,0
39,183900.97,666,22248,0.2031,12,2,0,7127.96,2,0
60,61680.13,764,19632,0.7045,12,5,1,17424.56,2,1
63,137686.89,498,48547,0.1696,3,3,2,17922.06,2,0
21,31268.54,799,13100,0.3373,8,13,0,1732.71,2,0
43,83524.2,315,48930,0.5727,22,1,1,14627.24,3,0
46,80332.36,595,67861,0.1309,28,11,2,8362.67,0,0
62,67944.21,810,77905,0.2822,12,13,0,14371.04,3,0
51,166687.46,538,54025,0.1171,27,1,3,25096.04,3,0
40,37506.38,600,76876,0.4052,7,5,3,4081.13,2,0
54,21303.91,305,79944,0.5524,19,3,1,8460.92,2,1
28,65123.45,519,51840,0.2481,10,9,3,15487.33,1,1
23,73805.11,752,20369,0.3273,18,13,2,43251.62,0,0
35,53511.39,732,19460,0.5351,0,12,0,9482.36,0,0
38,25426.61,685,2461,0.2028,8,3,1,12773.61,0,0
59,46594.46,594,43362,0.1698,24,3,0,18730.46,1,0
53,31840.9,417,29610,0.3779,1,3,1,13914.33,0,1
58,40095.78,704,21995,0.3504,3,14,3,28530.53,3,1
55,61631.4,311,8717,0.2155,28,1,1,2609.87,2,0
51,76530.04,508,79867,0.5324,3,3,0,23837.49,3,0
34,26891.62,464,65022,0.3446,27,5,0,2320.65,3,0
54,38388.34,593,54668,0.4695,0,8,2,8327.03,0,1
42,29110.33,818,52645,0.5123,27,7,1,7400.22,2,0
55,24964.55,377,30550,0.244,17,12,0,17798.21,0,0
29,83833.98,733,4576,0.3251,13,13,2,5084.07,0,0
40,122985.44,376,41868,0.3185,12,13,0,1545.31,2,0
59,35808.18,347,47380,0.2314,7,11,1,12268.86,1,0
39,77614.04,381,6728,0.2683,5,4,0,9330.1,1,0
38,117284.13,508,33800,0.5424,16,4,0,17548.58,1,0
44,99222.43,744,11886,0.3238,22,12,0,14214.27,2,0
48,24084.95,821,70909,0.1905,10,4,1,22521.32,3,0
23,155859.96,328,48236,0.1062,14,8,0,18270.82,3,0
44,36271.03,603,46805,0.1162,6,8,0,11584.78,2,0
57,33646.45,764,33532,0.1094,21,2,0,6268.12,0,0
51,17900.94,801,29688,0.6879,28,7,1,205.75,0,0
29,44964.15,745,12063,0.4721,29,12,0,3675.82,2,0
62,20194.18,789,24089,0.3263,26,11,0,13001.99,0,0
24,27858.17,727,56942,0.6669,7,14,1,613.47,0,1
27,32152.94,658,52829,0.4042,10,12,1,14130.27,1,0
62,89455.78,390,51553,0.0881,27,5,1,7264.63,2,0
34,108751.13,352,34585,0.1317,20,2,0,20233.32,1,0
43,31209.2,503,72739,0.273,1,13,2,10782.69,3,0
38,103058.55,455,60004,0.2424,19,3,3,16016.77,3,0
45,102593.71,301,3438,0.3569,10,11,1,1881.44,3,1
63,80100.85,656,24212,0.5061,13,7,0,1898.47,3,0
19,22138.73,357,51362,0.2132,23,6,0,2371.04,0,1
60,67750.12,553,73177,0.8662,12,6,1,4054.33,0,0
18,145538.69,479,17983,0.4071,7,12,0,23478.71,1,0
68,66633.22,792,15026,0.4268,11,7,2,14885.82,2,0
53,33130.22,334,51998,0.3073,20,6,0,4535.68,0,1
68,46243.79,374,56744,0.5242,21,11,1,25069.19,2,1
43,61695.69,588,58013,0.3234,8,2,1,15092.57,1,0
46,47153.16,670,52039,0.1886,25,8,0,10672.81,3,0
38,20750.1,628,50831,0.3767,25,7,2,5737.06,0,1
28,31832.68,603,35603,0.4136,9,6,1,10545.76,3,0
57,87967.07,520,78758,0.2505,10,5,1,8995.05,1,0
28,103933.2,463,68713,0.1958,10,11,0,15226.45,2,0
53,21645.97,779,14105,0.2941,15,6,0,2556.4,0,0
66,152008.99,754,68182,0.3468,17,14,2,21678.6,2,0
56,32942.48,674,53147,0.4155,20,3,0,8961.69,2,0
57,63853.71,519,76400,0.4686,8,2,3,16438.15,3,0
52,77712.98,553,47434,0.3628,2,9,0,4266.42,0,1
51,90196.23,487,27515,0.236,21,1,0,4974.39,1,0
64,146136.61,490,59001,0.4015,3,2,0,27692.05,0,0
41,31888.67,688,59397,0.2325,19,11,0,9727.42,2,0
39,102997.55,514,62415,0.1285,18,10,0,3823.4,3,0
22,21354.13,674,17960,0.2078,9,10,3,857.3,2,0
50,69941.34,385,46778,0.2841,12,1,0,5697.85,2,0
53,75961.92,773,31941,0.3596,0,8,0,18910.24,0,1
64,65955.51,830,41955,0.2625,11,4,1,2895.93,2,0
37,28084.79,346,79565,0.3779,10,6,0,19681.65,0,1
36,107875.86,364,57908,0.317,23,11,0,1763.16,0,0
52,23322.98,774,65067,0.2808,4,5,0,1391.84,2,1
69,17480.7,445,56696,0.1014,1,8,0,9306.23,3,0
60,71877.88,681,19429,0.0755,16,10,1,16329.01,2,0
34,44036.86,365,77676,0.1234,16,7,0,15143.68,3,0
62,100100.62,816,15847,0.2362,19,1,1,7844.05,2,0
60,36758.86,392,48191,0.1673,14,8,0,10180.24,1,0
51,23291.6,725,35256,0.2942,3,4,0,2986.75,1,0
26,96476.5,767,29774,0.1398,21,7,0,8012.25,1,0
43,50823.94,393,10127,0.2464,10,3,0,2328.17,2,0
19,24437.79,432,29205,0.0994,22,2,1,26360.81,2,1
26,72345.21,733,59764,0.1538,0,1,0,11333.8,3,0
26,47203.13,640,39664,0.4317,9,10,3,8315.91,1,0
57,56720.93,613,57795,0.4719,17,5,0,2838.79,0,0
34,42803.3,511,33333,0.1893,14,11,0,5259.02,1,0
18,94397.61,819,37079,0.2086,18,14,1,15151.13,1,0
42,94622.45,458,25259,0.27,24,3,0,2736.59,0,0
60,70609.61,567,27571,0.6432,3,11,4,1379.49,1,0
57,20012.11,773,52119,0.3008,5,3,0,3672.36,1,0
59,97144.96,709,9009,0.1565,1,8,1,15821.72,3,0
42,65028.16,773,62829,0.5824,12,1,1,21465.74,1,0
56,68734.6,655,39230,0.0965,26,13,0,5350.56,0,0
52,35293.14,492,57049,0.2828,1,2,0,15198.61,0,0
20,110142.5,570,37498,0.6127,12,1,3,4038.03,1,0
67,73155.14,413,29820,0.1325,14,7,1,7108.85,2,0
54,20375.19,822,41315,0.2941,28,4,2,203.91,1,0
61,38574.32,354,33795,0.283,17,3,1,12447.8,0,1
61,112870.45,364,40191,0.8162,10,3,1,12683.72,0,1
68,17175.61,571,55453,0.4567,4,10,1,1055.87,0,1
47,161472.01,801,13453,0.5318,28,11,0,4444.22,2,0
55,66156.93,661,51325,0.3779,24,3,1,6607.7,2,0
51,59909.01,445,50490,0.4685,13,2,2,14876.91,2,1
29,29196.47,508,75796,0.275,21,5,0,17350.38,1,0
36,27873.26,585,50993,0.365,15,1,1,12699.66,0,0
54,143174.25,309,46706,0.1063,13,5,0,2431.51,1,0
61,30939.45,485,43817,0.0593,8,10,1,4405.86,1,0
66,82225.64,763,65544,0.8833,5,14,1,2840.92,2,0
34,37474.22,433,56710,0.7542,8,8,4,10138.63,1,1
27,21748.02,470,51799,0.5862,28,7,2,10422.78,3,0
66,15484.79,512,61964,0.4116,4,14,3,163.01,2,1
64,50362.21,829,54678,0.853,10,14,1,13156.92,2,0
29,182423.75,801,72150,0.3102,11,11,2,2607.29,0,0
33,35729.94,326,61438,0.7381,16,3,1,16163.41,3,1
41,34885.94,367,78223,0.5448,5,13,3,17886.52,3,1
36,33978.04,707,62926,0.5147,19,12,0,15944.31,3,0
25,48079.63,408,4801,0.3776,24,9,3,5244.4,0,0
48,41145.29,373,42048,0.5809,5,11,2,4281.74,1,1
38,110379.86,561,41144,0.1172,14,10,0,5711.44,1,0
34,46691.26,667,11148,0.5577,16,13,0,7491.6,0,0
40,46895.3,536,20861,0.5596,21,7,0,2875.75,1,0
54,21701.9,665,62717,0.7001,2,1,1,26829.15,3,0
33,197670.16,585,23480,0.5268,18,6,1,7013.1,0,0
23,27944.07,677,19637,0.4107,22,4,0,760.14,3,0
25,18428.75,675,45621,0.5007,1,6,1,58788.83,3,1
42,63964.79,375,61304,0.3298,8,14,0,6618.5,0,1
35,55714.8,308,48431,0.2344,8,3,2,29372.53,2,1
42,39137.66,495,57172,0.3208,6,5,1,4947.62,0,1
29,39683.13,589,26437,0.1857,24,3,1,2545.84,0,0
32,84183.66,360,9149,0.3804,15,7,0,13351.45,2,0
43,24800.94,688,15671,0.4999,26,5,2,5665.05,2,0
58,92229.3,307,24119,0.1054,5,4,1,21324.93,3,0
62,62081.2,668,47117,0.3946,8,10,0,6245.38,2,0
43,39432.86,344,17279,0.2102,25,7,1,4130.04,2,0
64,42564.39,643,69835,0.5182,12,7,1,34015.36,3,0
49,28346.3,674,5803,0.3897,1,10,0,17741.63,3,0
27,77765.44,326,61805,0.4039,13,9,2,2301.67,3,1
33,47365.53,492,19201,0.0721,4,3,0,6711.02,3,0
24,32411.4,656,29634,0.2519,10,11,0,1202.67,0,0
34,55790.9,361,15760,0.3565,14,11,0,1140.03,3,0
40,260573.31,361,11826,0.4775,5,10,1,19200.48,0,0
43,40712.72,721,46775,0.3266,27,8,0,26856.89,3,0
38,129048.39,679,75676,0.3953,5,7,2,13425.94,0,0
39,34041.56,576,7798,0.0585,15,9,0,45316.13,0,0
24,17532.94,730,67103,0.3177,26,2,1,463.36,0,0
31,25280.71,414,78160,0.7188,19,6,0,4027.33,0,1
32,39411.6,420,78751,0.434,28,5,0,1417.07,2,0
24,26159.7,824,74502,0.2279,3,3,1,15233.45,0,0
26,15010.22,715,52410,0.3958,4,7,2,22110.37,2,1
68,125930.5,462,41888,0.2795,5,5,1,5926.12,2,0
65,98570.7,636,50047,0.4471,27,6,1,17672.9,0,0
25,76016.81,678,46955,0.5146,12,4,1,18813.88,3,0
67,23266.5,623,2982,0.4458,13,7,1,1504.63,2,0
40,20771.1,472,34864,0.4227,23,13,0,4731.86,0,0
46,18149.93,363,40265,0.2574,27,13,0,2082.9,1,1
35,72935.71,400,47313,0.2026,12,7,0,11088.17,2,0
48,133906.84,621,45350,0.4286,9,5,3,4899.31,3,0
47,40337.67,365,16378,0.1487,16,7,0,11019.42,1,0
69,20708.58,757,70815,0.3048,23,7,3,20864.76,2,0
56,47321.03,752,28924,0.5433,17,10,0,5323.09,0,0
52,34304.44,558,8312,0.8038,26,13,1,35728.32,0,0
35,36137.56,725,31353,0.5886,6,8,2,5252.86,0,1
59,58699.13,477,17192,0.5822,3,14,3,2404.61,0,1
56,72077.91,579,18450,0.0741,23,11,0,7534.77,3,0
34,20274.55,643,6432,0.4221,21,1,1,5092.24,3,0
31,16630.76,316,58225,0.4689,20,4,1,1335.33,2,1
48,247767.88,595,79711,0.2242,15,11,1,234.65,0,0
41,26921.15,501,66604,0.319,9,1,0,13625.94,1,0
52,17490.01,493,11295,0.4348,25,3,2,27009.68,2,0
61,24475.52,448,7774,0.1945,29,8,0,5806.66,1,0
62,16788.17,674,13190,0.6123,20,13,1,676.44,0,0
51,37377.12,334,32286,0.511,19,12,2,13495.5,0,1
20,87968.38,668,77325,0.3198,29,7,1,20179.47,0,0
54,33783.12,328,73427,0.6143,18,3,3,3910.49,2,1
60,41429.26,520,65014,0.1041,2,4,0,2510.48,1,1
57,65658.17,352,76852,0.2139,29,2,0,4110.66,0,0
43,46999.29,652,56256,0.4302,18,2,3,23893.99,0,0
40,103942.18,691,59630,0.6286,22,5,0,5412.18,0,0
61,105458.18,375,63771,0.3876,23,13,1,10617.73,2,0
56,15448.21,793,52715,0.4693,12,2,1,772.65,2,0
32,82737.89,821,8466,0.1086,7,11,2,3306.44,0,0
66,42789.55,416,18637,0.4691,17,7,0,2588.04,1,0
21,217296.05,579,69745,0.6047,29,1,1,646.71,0,0
46,44707.26,474,37317,0.6801,18,9,2,1285.3,2,0
39,210067.51,594,50766,0.1989,17,10,1,5388.9,0,0
42,78213.34,750,4078,0.2395,21,1,2,8164.56,3,0
30,27862.06,817,28299,0.3248,26,11,1,3738.48,1,0
35,49787.06,320,4543,0.6379,18,1,0,5438.68,3,1
50,233043.63,372,52052,0.0452,21,14,0,14250.04,2,0
33,102688.26,335,23064,0.1116,3,9,2,2839.38,3,1
62,19609.76,806,73287,0.1954,12,7,1,347.18,1,0
59,70144.87,532,15425,0.3379,11,14,1,2970.44,1,0
61,34080.24,796,52481,0.3122,14,10,0,25434.0,3,1
19,15315.3,505,78347,0.2305,25,12,1,181.9,0,0
52,38248.99,725,73317,0.1241,14,4,0,1380.44,3,0
59,27040.13,343,51530,0.4382,9,3,0,672.95,2,1
51,91884.13,390,26888,0.3201,21,12,0,4730.92,3,0
47,33516.56,769,28491,0.3265,28,5,1,10434.08,3,0
30,94087.29,766,33352,0.6443,18,2,2,24117.77,2,0
