age,annual_income,spending_score,num_purchases,account_balance,tenure_months,support_calls,region,noise_feature1,noise_feature2,true_segment
56.5,51398.0,53.8,8,7453.29,81,1,2,1.06,63.241,2
33.8,45446.0,80.2,18,3826.22,6,1,0,1.618,38.698,3
47.2,66049.0,47.8,3,11044.39,28,1,0,-0.379,33.921,2
34.3,41680.0,83.8,23,3515.84,70,3,1,-1.351,95.045,3
42.9,94005.0,42.1,17,12511.32,1,0,0,-1.296,65.974,1
26.4,23981.0,89.5,2,582.11,45,0,2,0.099,79.042,0
27.6,31989.0,85.3,18,3333.08,88,3,2,0.058,27.961,3
35.8,48325.0,87.6,16,2446.15,106,4,2,0.6,3.873,3
34.9,31609.0,73.9,23,3659.09,14,1,2,0.048,3.962,3
35.0,81319.0,36.6,7,13238.58,27,1,1,-0.473,94.654,1
40.1,63677.0,27.1,9,7594.44,110,4,3,0.588,86.397,1
34.3,57352.0,86.1,23,3097.21,77,5,0,0.046,21.796,3
31.2,90037.0,30.7,18,19010.78,39,4,3,0.105,14.55,1
38.7,45099.0,69.8,16,2840.79,78,1,1,-0.804,5.199,3
37.5,49640.0,83.1,20,1955.48,88,1,1,2.413,85.55,3
41.0,41922.0,30.9,7,4548.04,9,0,1,0.182,46.322,1
36.8,51222.0,78.1,27,3296.35,22,2,3,-0.074,33.693,3
25.1,53751.0,82.5,23,3907.3,5,4,1,1.042,60.947,3
32.0,33815.0,89.0,4,393.91,35,2,3,1.864,75.711,0
43.8,35327.0,69.4,16,2472.38,28,3,2,1.685,91.561,3
58.1,48068.0,51.8,8,7691.02,101,2,1,-0.416,70.401,2
33.4,51789.0,90.2,22,3336.87,54,0,3,-0.6,5.547,3
39.0,64162.0,32.7,11,10081.23,94,6,1,-0.676,30.483,1
42.4,40362.0,86.7,19,3725.7,9,0,0,-1.088,92.954,3
42.9,77128.0,36.7,5,10542.47,113,2,3,-0.698,55.124,1
22.0,23935.0,75.5,4,609.27,47,4,1,-1.184,96.572,0
37.5,44446.0,79.2,22,2865.48,90,2,2,-1.241,97.955,3
27.5,29118.0,84.1,12,808.97,85,2,1,1.021,55.068,0
40.1,68113.0,30.2,19,10946.59,68,0,2,0.922,63.821,1
39.9,44461.0,78.0,24,3466.21,81,4,2,-0.026,28.974,3
24.6,40459.0,80.5,28,2469.86,34,2,0,1.68,67.916,3
57.9,57965.0,80.4,9,6430.63,93,1,0,-0.696,82.575,2
54.7,61892.0,50.5,7,7454.59,83,3,0,1.04,28.6,2
38.4,66343.0,47.2,13,15934.23,109,5,2,-0.879,90.487,1
43.1,79427.0,43.3,9,19668.24,98,0,3,0.081,25.689,1
39.6,75757.0,40.0,11,19620.43,73,4,1,-1.488,65.235,1
55.3,47469.0,42.1,11,5545.67,64,0,1,0.326,94.383,2
28.5,35584.0,64.2,16,3331.97,11,5,0,0.369,37.726,3
23.4,43349.0,78.7,30,2362.78,78,1,1,0.551,61.769,3
39.4,45968.0,81.2,13,4044.82,92,1,3,-0.207,2.755,3
24.3,32378.0,71.2,6,672.07,106,3,1,-0.683,80.732,0
35.8,75363.0,30.1,6,10360.62,37,2,1,0.679,43.759,1
23.0,32990.0,75.6,3,225.26,60,6,1,0.02,74.739,0
48.1,43093.0,43.5,14,6977.2,60,3,2,0.201,83.275,2
42.3,81298.0,15.3,10,14619.37,59,2,3,-0.183,45.067,1
34.6,48601.0,71.1,20,3557.2,83,3,1,2.038,71.067,3
40.1,71026.0,29.8,13,14525.13,40,1,3,-0.457,47.46,1
26.9,25549.0,63.2,8,626.28,44,0,2,0.648,94.333,0
28.5,33280.0,84.9,10,358.78,62,2,0,0.274,93.185,0
31.3,48149.0,76.1,21,762.5,113,0,1,-0.861,63.34,3
60.9,50666.0,57.8,11,9198.74,74,3,0,-0.154,85.992,2
20.8,30534.0,80.1,4,831.6,36,0,2,-0.716,61.012,0
23.1,30726.0,79.9,2,243.17,61,1,1,1.304,83.475,0
56.1,49669.0,49.0,9,8312.42,80,0,3,-1.937,21.122,2
21.9,29056.0,71.2,10,614.23,15,3,3,-0.741,49.071,0
41.7,53551.0,79.1,19,3793.68,82,6,3,-1.354,23.723,3
58.4,41687.0,60.4,9,6676.82,6,3,1,-0.917,91.563,2
25.7,28128.0,84.8,3,751.72,111,4,1,0.792,67.837,0
27.4,29248.0,88.0,10,598.73,42,4,3,1.04,85.68,0
44.0,45524.0,80.3,21,1472.87,63,0,2,-0.283,0.075,3
41.5,66265.0,40.1,16,17068.57,109,2,0,0.786,51.509,1
40.7,70741.0,31.6,12,16570.59,112,2,2,1.352,28.188,1
42.9,41780.0,74.6,22,2952.51,107,4,2,1.293,81.659,3
31.7,48561.0,79.0,17,3336.17,88,3,1,-1.057,69.814,3
23.8,49415.0,81.2,24,1836.13,87,3,3,1.728,44.102,3
30.4,49632.0,76.1,21,3664.1,93,2,1,0.69,67.577,3
42.6,74465.0,43.8,12,18258.19,111,1,2,0.54,59.055,1
26.2,26208.0,77.0,4,348.25,111,3,0,-0.05,12.791,0
35.0,43426.0,86.7,10,2467.43,87,1,3,0.532,79.654,3
49.2,52247.0,52.9,7,9604.21,31,1,0,-1.188,42.962,2
37.9,70820.0,25.8,11,17820.48,91,2,3,-0.693,0.498,1
32.3,42997.0,80.7,13,3416.69,35,1,0,-0.297,24.006,3
24.6,30568.0,82.0,2,713.41,27,3,0,-0.004,20.259,0
40.7,62790.0,8.0,13,12530.31,34,2,2,0.443,65.498,1
24.7,28373.0,86.1,2,411.29,25,1,1,-1.106,50.776,0
38.2,62868.0,26.3,12,11283.85,69,1,2,-0.257,74.069,1
28.7,24352.0,55.5,6,438.39,85,2,1,-0.673,50.189,0
22.8,25958.0,77.3,5,365.27,75,3,3,0.682,37.51,0
24.5,24447.0,53.3,5,363.5,83,2,2,-1.198,28.045,0
56.7,42643.0,63.1,8,12081.26,105,1,1,-2.533,78.254,2
55.4,26515.0,39.5,3,11613.87,80,2,0,0.493,17.885,2
58.4,54247.0,73.2,8,6160.38,6,0,1,-0.577,45.38,2
38.9,33610.0,89.5,15,3294.16,105,6,1,-2.509,99.982,3
43.4,78934.0,32.5,12,19075.35,47,2,0,0.031,58.954,1
35.9,69246.0,21.2,10,15997.56,56,0,0,0.519,18.33,1
37.5,58204.0,82.3,20,3147.96,38,5,0,-0.165,22.236,3
26.6,29212.0,68.2,5,782.04,26,1,0,0.094,70.594,0
39.0,40801.0,73.8,11,2236.71,102,2,2,1.618,27.054,3
23.9,20548.0,71.4,5,0.0,28,3,1,-0.445,4.463,0
26.5,55693.0,80.5,15,3313.72,86,2,2,1.696,85.123,3
24.8,32126.0,66.2,7,396.15,71,2,0,-0.572,21.357,0
42.4,40918.0,82.1,22,3966.11,1,1,0,-1.241,55.788,3
59.4,55618.0,52.6,11,10774.25,41,0,3,0.301,20.875,2
39.9,47304.0,74.3,25,1753.94,117,4,1,2.171,8.527,3
30.0,30243.0,79.5,10,638.96,48,2,3,1.248,96.645,0
56.7,51698.0,44.4,6,11029.7,77,1,3,-0.053,2.861,2
30.1,59466.0,81.5,19,4327.47,81,0,0,0.163,83.536,3
48.8,46304.0,53.4,7,10877.28,105,1,0,1.652,93.664,2
53.1,61551.0,48.9,6,4582.89,85,2,2,0.789,50.395,2
52.0,40969.0,49.6,7,8598.61,1,1,2,-0.727,17.051,2
34.5,73825.0,16.8,8,24280.55,81,4,2,0.796,16.145,1
59.7,68275.0,45.4,7,6789.43,84,1,2,-0.117,17.628,2
58.5,57926.0,52.0,10,9285.2,94,0,3,-0.996,15.645,2
35.1,51305.0,73.4,22,3136.56,17,1,0,0.318,87.784,3
32.6,29326.0,95.1,9,256.5,27,2,2,-1.026,71.021,0
47.2,78347.0,44.9,12,17299.12,91,1,1,0.017,31.298,1
46.3,49014.0,82.7,15,4251.15,44,2,3,1.651,7.229,3
35.6,36917.0,82.1,22,3291.05,41,4,3,-0.935,83.019,3
41.8,77421.0,25.4,16,23381.17,4,2,3,-0.221,38.321,1
58.6,64482.0,45.9,6,6294.9,105,7,1,1.989,87.149,2
32.5,67986.0,7.5,10,15557.29,33,2,1,0.29,31.395,1
20.3,30366.0,59.9,2,434.17,1,5,1,1.222,48.208,0
43.6,50475.0,26.0,7,14062.68,11,2,3,-1.184,18.51,1
37.3,85521.0,23.0,12,18854.58,8,1,3,0.369,32.798,1
53.3,67250.0,62.1,4,7628.45,99,3,0,-0.632,69.393,2
21.7,29651.0,82.4,4,275.52,64,1,2,-0.044,58.406,0
21.3,48799.0,80.3,19,2289.37,58,3,1,-0.803,79.245,3
33.7,57651.0,95.1,24,3408.42,60,1,0,-0.661,9.341,3
64.3,41588.0,63.0,10,8167.38,30,1,2,-0.499,98.991,2
51.2,52096.0,56.9,11,10181.85,101,4,2,-2.274,72.206,2
43.1,72343.0,29.0,11,15786.18,52,3,3,-0.742,3.205,1
37.6,51242.0,93.1,21,3242.98,40,1,0,-0.283,30.015,3
54.2,52458.0,52.6,9,6328.04,88,2,2,0.289,20.491,2
22.9,28571.0,80.7,4,425.3,3,2,0,-0.341,37.218,0
33.6,45231.0,80.2,18,2636.16,31,1,0,-1.797,98.872,3
41.2,55496.0,71.6,17,2583.83,64,1,0,-0.987,13.793,3
32.6,39829.0,76.9,20,3869.75,105,3,0,-0.155,85.193,3
45.9,54920.0,36.6,11,7342.27,102,3,2,-0.648,92.365,2
56.5,54720.0,67.3,8,8600.39,68,1,3,-1.909,44.429,2
46.1,72071.0,34.4,17,12324.35,68,1,3,0.66,51.192,1
38.7,44036.0,88.5,18,4128.5,72,0,3,1.447,42.97,3
44.8,47863.0,79.3,14,2362.36,36,2,2,-2.01,42.731,3
26.6,32611.0,75.3,9,841.53,2,1,2,0.568,96.235,0
23.8,27351.0,88.1,8,735.85,3,2,0,-0.95,20.128,0
36.7,56966.0,12.6,10,15283.94,47,3,3,1.322,97.678,1
21.7,37043.0,87.8,24,4030.32,95,3,2,-0.709,84.158,3
37.0,37506.0,86.7,17,2638.2,59,3,3,0.581,69.858,3
29.9,30672.0,79.6,1,511.15,10,2,1,0.347,1.188,0
60.3,46890.0,37.0,3,8285.55,112,4,0,-1.087,68.831,2
41.0,78487.0,9.7,9,10592.53,26,1,3,0.384,19.677,1
37.5,47424.0,83.7,23,2932.64,119,1,1,-0.662,1.582,3
29.8,53060.0,76.5,18,1897.49,2,4,3,-1.162,98.617,3
32.9,32097.0,82.9,19,2270.27,14,4,0,-0.6,91.419,3
35.1,64990.0,33.7,19,19555.7,2,0,1,-0.345,43.022,1
31.9,71363.0,43.4,9,14064.99,62,2,2,1.288,72.677,1
41.9,80524.0,46.8,11,16827.53,59,3,3,0.119,91.876,1
26.2,27469.0,81.9,5,485.89,18,3,2,-1.82,23.873,0
31.3,36142.0,95.8,14,3234.45,91,2,3,0.752,93.032,3
35.5,38430.0,68.4,20,2630.85,9,1,1,-0.201,35.349,3
33.0,60283.0,79.6,16,1492.76,60,1,0,0.201,73.314,3
33.0,37088.0,71.5,20,3401.38,53,5,0,0.409,5.798,3
53.1,51092.0,49.0,9,7401.32,96,4,0,1.14,38.935,2
35.2,39382.0,79.1,16,3676.77,11,0,1,-0.59,47.15,3
39.6,35415.0,85.1,16,4727.65,62,1,3,-0.605,2.206,3
34.3,45122.0,86.0,28,3018.21,21,2,2,-1.994,81.317,3
30.6,22423.0,73.7,5,699.6,97,3,3,-0.057,21.624,0
28.7,48128.0,23.0,16,8969.55,97,1,0,-1.012,89.063,1
26.5,25351.0,84.3,6,752.48,108,0,2,-2.391,81.126,0
32.8,47335.0,68.1,23,3213.62,18,3,3,0.67,76.76,3
57.7,51987.0,53.9,10,8588.52,24,2,2,0.904,68.852,2
28.1,30856.0,54.9,1,479.04,12,5,0,-0.694,43.063,0
49.6,47784.0,68.9,10,10394.52,79,2,0,0.71,5.116,2
49.4,55667.0,85.1,5,8540.96,62,2,3,-1.486,94.744,2
45.0,74663.0,39.6,15,22295.62,85,1,0,-1.138,53.347,1
18.0,31610.0,66.1,2,394.51,112,4,3,-0.563,76.729,0
56.5,56575.0,49.4,7,7840.95,6,1,0,0.355,63.795,2
49.7,67280.0,51.0,3,7769.01,102,2,1,-0.688,84.695,2
41.2,30197.0,90.9,18,3103.65,7,0,1,-2.172,72.397,3
54.4,55746.0,40.5,7,12000.7,18,5,0,0.233,36.35,2
27.5,50722.0,84.5,20,4010.14,86,1,2,0.264,87.851,3
50.1,64531.0,35.7,9,4567.59,96,6,2,-0.831,20.102,2
55.8,42822.0,60.7,9,7979.68,63,3,2,-0.544,39.713,2
33.5,55396.0,67.0,21,1566.18,37,4,0,-1.872,47.397,3
38.1,76579.0,23.7,11,14107.98,71,0,1,0.791,95.669,1
23.3,30550.0,89.8,3,673.54,51,0,1,-0.948,35.669,0
20.5,31965.0,75.3,5,401.11,20,1,0,0.863,50.256,0
30.9,54746.0,75.1,29,2837.46,77,2,0,-0.332,42.34,3
58.4,59778.0,59.9,11,4434.92,61,1,2,1.533,79.267,2
50.6,55437.0,66.0,8,7431.33,36,0,2,1.567,4.546,2
26.4,18526.0,61.5,4,454.65,29,2,1,0.074,54.015,0
22.1,43702.0,63.8,7,217.95,43,2,0,1.406,47.384,0
28.0,27252.0,71.9,7,217.43,108,0,0,0.914,45.355,0
38.8,66959.0,38.1,8,20209.36,21,3,0,0.836,53.603,1
57.2,45109.0,40.4,8,9896.32,66,1,0,0.218,82.992,2
44.0,98759.0,31.2,12,14978.68,108,3,2,-0.833,34.213,1
30.6,77234.0,37.4,13,17021.08,29,7,2,-0.944,47.29,1
38.4,33856.0,70.9,25,2575.37,19,4,0,0.539,88.907,3
34.5,85193.0,26.2,11,14269.13,34,2,1,-0.239,91.537,1
63.4,62708.0,53.5,7,7305.5,8,0,2,0.537,84.08,2
36.9,48953.0,80.9,23,2690.65,96,1,3,-0.202,71.25,3
43.2,86748.0,24.6,8,23336.12,77,4,0,0.328,96.462,1
54.4,54977.0,33.2,6,7713.17,18,1,3,0.342,85.185,2
32.0,45244.0,60.1,22,2502.31,4,3,0,0.444,88.43,3
35.4,40697.0,78.0,20,2767.0,18,1,2,0.752,8.909,3
24.5,30638.0,61.8,10,56.23,111,2,2,-1.502,8.712,0
36.8,36360.0,81.5,19,1623.97,78,1,1,-1.141,64.256,3
45.9,100154.0,44.9,11,22048.2,111,3,0,0.078,87.893,1
42.0,69256.0,23.6,14,11273.77,48,0,2,-0.789,16.233,1
35.2,61156.0,30.4,10,13356.58,8,2,2,2.277,34.048,1
48.1,46213.0,81.6,16,3519.75,19,1,1,0.268,96.414,3
40.5,85894.0,28.4,8,15619.11,118,1,0,-0.748,65.268,1
28.4,75209.0,20.2,15,7715.53,24,3,2,1.197,63.935,1
58.1,53431.0,32.9,5,9997.4,49,1,0,-2.54,61.334,2
30.9,25433.0,71.1,5,223.4,16,1,3,0.122,67.9,0
22.6,29031.0,79.8,9,373.78,101,3,0,0.055,15.18,0
24.1,27989.0,79.0,9,356.25,54,1,3,1.2,71.587,0
18.4,24260.0,76.4,10,463.5,65,3,0,1.556,7.298,0
23.4,27629.0,81.5,7,256.18,45,0,0,1.069,24.168,0
29.0,26600.0,79.8,3,155.87,15,3,1,-0.136,75.911,0
64.2,61227.0,69.1,10,8063.99,9,3,3,0.942,52.535,2
27.6,24258.0,88.2,7,206.4,42,3,3,0.871,39.052,0
32.3,91158.0,36.6,12,11839.42,82,1,0,0.712,65.553,1
47.1,63173.0,73.4,17,2582.71,4,4,0,0.052,97.328,3
44.2,61235.0,23.3,10,13239.37,42,6,0,0.581,11.855,1
54.0,68616.0,46.5,8,4906.17,54,1,3,-0.238,12.84,2
18.0,26342.0,77.5,5,55.83,58,4,3,0.004,33.53,0
24.3,31770.0,76.8,4,624.88,118,2,2,0.391,84.735,0
18.5,27208.0,73.7,4,484.95,69,4,2,-1.589,65.804,0
29.8,37340.0,79.5,5,595.78,7,1,3,-0.088,72.915,0
40.1,80420.0,25.4,11,11484.08,50,1,1,0.384,77.143,1
26.9,31502.0,81.0,7,446.46,66,1,3,-2.073,43.539,0
31.1,24227.0,57.4,3,746.21,67,2,0,-0.162,29.758,0
21.2,30515.0,62.0,5,347.57,1,0,0,0.886,70.242,0
44.3,79945.0,21.1,12,15927.24,18,1,0,0.524,47.155,1
28.7,27717.0,62.4,6,680.45,7,1,2,1.071,98.13,0
43.0,50074.0,29.3,19,14138.44,110,2,2,2.514,28.375,1
59.8,48005.0,46.8,9,8531.98,118,0,0,-0.858,45.353,2
53.5,59805.0,70.4,9,10252.47,56,2,3,0.162,11.658,2
21.7,31145.0,57.1,3,468.8,6,4,3,-0.158,28.092,0
35.2,44925.0,83.7,25,4314.7,34,1,3,0.358,42.796,3
56.3,50879.0,47.9,13,10204.67,100,1,3,0.322,32.537,2
20.8,27810.0,72.3,3,309.35,43,0,1,-0.71,32.301,0
30.0,40904.0,76.2,15,2954.7,69,1,3,0.493,97.458,3
35.3,49576.0,65.1,23,2519.8,105,0,2,-0.241,60.664,3
26.4,28090.0,93.6,1,753.83,21,3,1,0.034,23.37,0
46.1,72750.0,18.9,6,15417.22,114,2,3,-1.34,0.485,1
37.3,38288.0,100.0,22,3372.14,87,3,2,0.199,89.295,3
62.5,64293.0,45.9,9,8652.53,99,2,1,0.54,60.788,2
18.0,30190.0,65.2,6,442.2,1,4,3,-0.979,27.946,0
24.7,26686.0,79.9,1,581.8,43,0,2,1.354,29.115,0
43.4,80118.0,39.4,8,7778.58,59,1,3,-1.231,27.742,1
29.2,92882.0,44.1,17,7589.76,35,5,1,2.574,23.671,1
59.1,54332.0,76.1,11,7832.11,61,3,2,0.393,15.64,2
36.8,76562.0,6.6,13,12475.32,19,2,0,1.304,9.404,1
48.3,99217.0,47.2,11,10131.43,54,0,0,-0.456,29.124,1
54.7,57601.0,39.6,7,7417.09,58,4,0,-0.588,87.066,2
27.2,22477.0,73.2,8,442.12,63,1,0,-0.039,11.3,0
42.4,87850.0,27.1,14,14592.5,94,2,3,1.303,26.383,1
53.5,80136.0,50.6,6,6164.63,42,0,0,0.539,29.242,2
33.3,39899.0,92.6,20,2696.54,6,2,0,0.501,31.009,3
54.5,55014.0,62.0,4,6417.02,106,2,1,-0.296,23.019,2
59.1,46716.0,72.6,10,8415.87,54,4,2,0.678,15.528,2
18.4,19730.0,74.2,3,767.25,95,3,2,-0.612,24.338,0
37.2,88594.0,26.6,13,16289.49,44,3,2,-0.561,89.685,1
51.6,59407.0,49.1,11,8337.78,59,2,3,-1.037,49.8,2
25.4,33182.0,92.1,5,510.12,14,1,1,0.775,92.394,0
42.2,66406.0,40.4,14,10624.91,16,1,0,0.974,67.773,1
38.0,77296.0,46.0,16,16334.43,60,5,3,0.112,50.561,1
31.1,34755.0,80.0,11,42.06,29,3,0,0.711,40.184,0
41.5,87292.0,48.2,6,20944.88,103,1,2,-0.123,87.234,1
25.3,29061.0,74.3,5,702.63,106,4,1,-0.092,52.874,0
42.6,78784.0,17.7,11,19960.67,104,3,2,-3.421,33.123,1
21.2,26480.0,64.6,4,723.81,83,1,2,0.088,2.202,0
27.9,54318.0,71.6,29,3555.66,61,2,3,-0.604,54.162,3
60.8,69606.0,59.3,10,4091.24,85,2,1,-0.466,62.078,2
62.9,66619.0,48.0,4,6520.01,97,2,0,0.547,61.78,2
34.4,46645.0,87.0,22,2643.88,94,2,2,2.428,84.853,3
34.1,87377.0,27.7,8,18821.99,14,2,0,-0.861,51.714,1
18.0,27283.0,67.2,6,763.2,31,2,3,0.607,77.633,0
60.4,54801.0,63.4,9,8709.11,90,1,3,1.855,76.011,2
57.5,51874.0,50.5,15,9348.5,55,2,1,-1.509,9.51,2
45.3,49776.0,51.1,4,11024.44,18,0,0,0.447,45.175,2
38.9,83995.0,40.2,21,14235.66,4,3,3,-0.517,48.489,1
19.7,23768.0,74.9,4,523.83,36,1,0,-0.559,72.715,0
38.4,54347.0,18.2,10,17934.68,77,2,1,-0.932,33.458,1
32.1,63211.0,26.3,10,10531.3,53,1,2,-0.706,80.871,1
56.5,51875.0,57.7,7,4361.39,101,1,1,1.227,59.977,2
60.7,75305.0,47.6,7,6411.87,10,0,1,-1.459,9.295,2
39.7,85814.0,27.3,14,21169.24,101,3,2,-0.196,50.202,1
39.7,47640.0,75.7,23,2813.27,94,2,1,1.803,80.492,3
42.4,45584.0,37.9,7,12167.82,58,1,0,0.502,92.692,2
19.4,33738.0,73.5,7,178.86,60,1,3,-1.148,5.95,0
22.7,32100.0,68.0,6,604.06,105,0,3,0.337,58.606,0
29.2,32731.0,71.2,6,685.4,4,3,2,0.566,79.644,0
18.9,24560.0,82.7,5,828.18,10,2,1,1.831,38.243,0
18.0,27007.0,58.9,5,25.07,106,2,0,0.682,39.215,0
23.2,23050.0,71.4,5,605.7,108,3,0,-0.88,79.146,0
44.8,59573.0,24.6,7,12228.21,40,0,2,-0.659,3.494,1
29.8,31421.0,73.3,3,578.23,104,2,3,-1.211,20.725,0
38.2,39559.0,76.5,15,3763.48,28,1,1,-0.418,97.423,3
23.4,34557.0,85.9,5,600.11,66,1,0,-0.801,61.487,0
59.4,62986.0,74.8,12,5872.26,91,1,0,0.013,81.77,2
38.4,85880.0,41.0,11,19107.32,93,0,2,0.677,78.178,1
37.9,58584.0,85.0,16,3180.9,6,1,1,0.801,86.295,3
25.8,28471.0,84.0,10,532.39,23,2,1,0.606,61.122,0
32.5,70651.0,6.1,7,16326.96,76,4,0,-0.843,16.57,1
26.6,53836.0,91.8,28,3947.92,105,4,0,-0.54,58.675,3
40.7,48957.0,69.0,23,4169.09,72,0,2,-2.449,32.629,3
37.6,30824.0,83.2,25,3139.33,74,0,0,0.751,77.875,3
37.9,54102.0,37.1,10,16071.82,81,3,2,-0.226,65.859,1
26.8,30785.0,85.7,4,403.15,65,2,1,-1.287,13.073,0
49.1,42358.0,40.7,7,8192.31,67,0,1,1.086,82.692,2
42.8,45681.0,91.6,29,3439.77,108,4,2,-0.641,53.569,3
57.0,64911.0,45.8,10,11502.54,46,1,3,1.271,64.711,2
55.2,68898.0,59.8,10,8639.44,28,2,3,-0.204,23.633,2
31.5,81952.0,39.8,8,14838.57,106,1,1,-0.546,60.706,1
45.4,45060.0,78.1,16,3708.8,100,1,2,-0.125,25.583,3
24.2,28079.0,87.5,6,569.71,59,1,3,-0.506,51.476,0
44.8,83647.0,36.2,10,14570.21,48,1,2,-0.888,49.078,1
46.1,47579.0,29.3,13,19613.38,26,1,3,-0.667,73.11,1
57.0,49464.0,61.2,10,9329.87,58,2,2,0.59,8.563,2
25.9,23766.0,90.7,1,711.11,89,3,1,1.481,10.285,0
27.9,28969.0,72.9,2,517.89,98,2,3,0.492,52.723,0
47.6,61780.0,33.6,5,9947.72,67,0,2,-1.077,10.515,2
40.0,66614.0,40.0,13,12612.06,57,1,0,-0.757,79.81,1
54.7,51916.0,50.5,4,11810.73,28,1,3,-0.47,85.384,2
26.7,33200.0,60.3,7,748.42,119,2,3,0.628,28.788,0
35.7,70551.0,30.5,18,18574.69,29,3,3,-0.215,61.807,1
57.1,74359.0,41.1,9,6203.45,13,1,3,1.057,35.389,2
22.2,32640.0,50.5,3,357.06,106,0,3,2.049,15.43,0
38.2,91317.0,33.2,12,21380.86,103,2,0,-0.557,97.881,1
21.9,26875.0,63.4,7,526.63,53,5,2,1.598,78.699,0
31.9,26995.0,60.0,7,514.55,20,4,0,-1.553,99.676,0
36.4,37646.0,76.2,17,5276.85,119,1,1,0.474,5.387,3
40.4,70335.0,29.8,12,16781.88,22,2,0,1.541,26.945,1
44.6,45289.0,89.8,20,4081.38,13,3,3,-0.123,9.587,3
53.2,89484.0,24.5,12,16607.11,72,1,1,0.849,41.56,1
60.8,43508.0,50.5,5,6740.03,57,2,2,0.631,68.311,2
31.5,65700.0,72.9,23,4017.72,106,3,0,1.135,69.446,3
55.2,45923.0,73.8,5,7955.56,83,1,1,0.287,96.19,2
38.2,67598.0,31.5,5,20182.05,69,3,1,0.352,69.235,1
51.9,85161.0,36.2,14,13885.26,69,2,3,-0.851,56.355,1
40.9,86816.0,34.2,16,15437.64,98,2,2,1.424,15.56,1
36.0,39797.0,91.6,16,3992.41,49,1,0,0.789,83.87,3
37.1,58317.0,78.3,21,3379.49,98,0,3,0.94,30.514,3
33.0,27464.0,74.1,19,4816.53,11,2,1,-1.278,26.009,3
25.9,26158.0,45.6,4,879.38,118,3,1,-0.153,25.295,0
58.6,55819.0,50.3,7,8843.83,102,1,0,-0.453,45.575,2
39.2,42039.0,89.0,19,2734.84,7,4,3,-0.48,1.163,3
31.8,30616.0,75.6,6,442.36,16,4,2,1.921,29.568,0
25.8,33412.0,74.5,2,386.13,18,0,2,-0.005,62.015,0
62.5,56891.0,41.8,8,8042.66,70,1,2,0.155,51.774,2
65.3,70819.0,58.0,8,8160.16,114,0,0,1.056,17.757,2
37.7,48339.0,83.4,28,2722.37,117,1,1,0.616,69.351,3
28.1,19515.0,60.4,5,235.94,115,3,0,0.202,86.268,0
37.6,41077.0,92.3,12,3260.47,65,1,3,1.008,82.34,3
25.9,19019.0,85.2,6,697.59,87,4,0,0.614,98.808,0
24.0,26297.0,93.1,3,590.1,50,2,0,0.449,98.461,0
29.8,26878.0,72.6,8,706.95,102,1,0,-0.457,86.418,0
35.6,31322.0,79.9,23,2687.02,8,2,3,-0.644,58.539,3
54.3,70247.0,43.6,12,4038.78,76,4,2,0.048,82.091,2
56.5,54948.0,51.3,10,7645.85,69,1,1,-0.168,98.543,2
39.5,80145.0,25.8,11,15745.37,55,1,3,1.2,50.948,1
44.3,45504.0,76.1,19,3419.69,43,1,0,0.284,29.86,3
38.4,83123.0,21.6,13,13906.61,91,1,2,2.386,54.504,1
38.1,38564.0,79.0,26,5243.14,109,4,0,-0.909,86.8,3
41.3,75164.0,27.3,9,14266.4,114,2,0,-0.323,37.263,1
39.8,78020.0,36.6,12,14135.6,21,2,2,-0.646,22.034,1
43.7,86124.0,35.5,6,11755.09,47,2,2,-0.638,51.04,1
40.5,66891.0,42.6,14,14873.33,63,4,1,-0.523,91.113,1
49.2,44217.0,45.5,9,8646.76,43,2,1,1.202,19.307,2
61.4,70100.0,59.9,10,10497.14,37,1,2,1.201,43.614,2
21.5,29722.0,83.5,6,614.02,77,2,0,2.065,52.266,0
36.4,48037.0,91.0,25,3411.9,62,1,1,-0.324,44.235,3
34.3,81873.0,8.5,12,10734.82,83,2,1,-0.108,13.292,1
48.9,68351.0,67.2,8,6457.54,59,3,2,1.011,9.109,2
39.3,45070.0,75.5,27,3494.17,59,4,0,-1.406,25.193,3
52.5,76420.0,74.3,5,5685.32,13,4,0,0.338,35.357,2
22.2,35365.0,70.3,2,649.95,86,2,3,2.013,9.974,0
29.5,33909.0,75.1,10,2055.81,46,4,2,0.755,42.794,3
58.7,50707.0,44.2,10,11329.29,32,4,0,0.1,40.817,2
41.7,67639.0,35.2,13,14156.75,67,0,0,-1.019,68.88,1
22.1,31006.0,80.6,3,626.61,73,5,3,0.614,47.384,0
28.0,49701.0,78.8,30,2264.87,102,5,2,-0.748,76.708,3
58.8,67155.0,56.2,8,4128.88,112,1,3,0.056,50.962,2
57.2,42763.0,61.8,9,10649.65,23,4,1,-0.507,90.145,2
35.7,41693.0,78.2,17,2066.11,113,3,3,0.996,67.539,3
33.0,53933.0,78.7,21,3956.46,26,2,0,0.198,88.364,3
20.4,37091.0,75.7,3,380.35,71,1,3,-0.964,5.601,0
33.7,72532.0,34.3,14,11954.92,10,2,0,0.172,94.005,1
23.8,26399.0,73.5,5,492.83,62,0,0,-1.026,3.901,0
53.4,56216.0,68.1,7,8198.19,5,1,3,1.51,94.692,2
26.6,23335.0,71.4,7,926.69,118,0,1,1.577,74.15,0
59.6,36447.0,60.3,11,11415.97,80,1,1,-0.076,77.51,2
36.0,44987.0,84.4,25,3620.5,73,2,3,0.2,20.547,3
